,source,edge,target
5752,net  profit,calculated from,gross  revenue
5753,only  they,are,only  account
5754,wage tax consequences,ensured,this
5761,profit rate,is,around pot plant cent
5762,cut  flower,reduced,10  %
5764,taxpayer,assumed,VAT Appendix gardeners
5767,declared farm ALS,income per,fruit growing fruit area
5768,Proven self expenses,deducted in,flat rate building costs
5769,proportionate  wages,are,specified profit target rate
5770,when  they,costs flat,when  profit
5772,flat rate building consideration,bound to,incorrect profit estimate
5773,lump sums,reduced,accordingly . 1b
5775,Closed  rows,belong to,existing yield area
5776,pome bush it,assumed,growing  area
5778,when  orchard,life,useful depreciation Section
5779,years12 cherriesPlanting year,with,50 years10Plus planting v
5782,nurseries,include,also  nurseries
5783,ALS,used,well  operations
5784,official  which,have official,individual  him
5785,profit,be,27  BC
5788,Profits,.,distilling Section 13a
5789,tax offices,distilleries,attributable sales sales
5791,remuneration,added to,operating control notifications
5792,boiler volume,set at,30  output
5793,resulting  profit,increased to,cent
5795,distillery,page,commercial  enterprise
5797,tax that,repealed for,BdF IV C
5799,19 101OFD Frankfurt,am Main,31081987 S-2342 Reference
5804,6 S-2342 40/84 I,S,BMF July
5805,unlimited income who,applies to,unlimited income tax
5806,Therefore  transfer,is,former asset employer
5807,former  employees,is,previous asset employment
5808,transfer,listed in,6 19a EStG
5809,investments,granted,other company companies
5810,tax  term,granted,blocking  period
5811,foreign  that,includes,Regulated Unofficial Market
5812,payment,is,nominal  value
5813,redemption,is irrelevant,deadline
5814,so  z,lies,money
5815,also  redemption,provided,certain  money
5816,that,is,profit
5817,designation,matter,interest
5818,fixed interest rate,promised,related interest rate
5820,2 Section EStG,met,Section 19a
5821,2 Section EStG,determined by,current income bond
5822,new insurance that,surrendered with,new insurance obligations
5823,lock  period,affected by,security case
5825,it,is,right profit holder
5826,participation certificate,issued by,legal  form
5827,Profit participation rights,be,typically property shareholders
5828,They,differ from,membership control
5829,profit right,given,company
5831,Fixed  interest,is,fundamentally  this
5832,interest payment,exist,sufficient  profit
5834,2 Section 19a EStG,met,5 Section 19a Paragraph
5835,2 Section 19a EStG,right,daily profit participation
5836,which,Are other,typical property shareholder
5837,Subscription this,preclude,profit participation
5838,also profit participation repayment,requires,nominal  value
5840,following repayment claim,fulfilled in,company
5841,repayment,made from,only  profit
5842,nominal  it,be,nominal  value
5843,only  employee,transferred,already  cooperative
5844,This,is,usually credit unions
5845,savings  associations,are equal,credit unions
5846,22 Cooperative member,is compatible,monetary  employer
5847,articles,transferred,association
5848,company,made,commercial  register
5850,silent  partnership,left to,legal  company
5852,contractual  partners,p,common BFH June
5854,express  agreement,be,common control purpose
5856,loan Paragraph,applies,loan claim
5857,domestic loan which,include,controlling  company
5858,tax  conditions,granted,paragraph
5859,nominal  it,is,participation paragraph
5860,domestic profit sharing which,include,controlling  company
5861,1 Property investments,made available,employer
5862,employer,matter,legal asset participation
5863,also  employee,made available,asset employer
5865,current asset shares,transferred by,third  party
5867,third  employer,cases in,transfer
5868,employer,matter,transfer
5869,Section EStG,based on,Section 19a
5870,Disposal bans,reduce,value
5871,months Section 19a they,Para,subject stock exchange sentence
5872,dependent  company,applies,own transfer it
5873,resolution,is decisive,which
5874,decisive asset participations,valued at,prior  day
5875,they,Para,lowest stock exchange provision
5876,vicarious  agents,deemed,release
5877,this,is,day
5878,new  that,derived from,old stock resolution
5879,new  that,discount of,total stock cent
5882,new  that,applies to,nine decision date
5883,9  price,is,old  transfer
5884,2  3,sentences,group
5885,Section 19a Paragraph,depends on,7  sections
5887,usually  claim,justified,nominal  value
5889,generally  claim,is,longer  time
5890,loan expiry,sentence,six Section 19a
5891,that,sentence,early Section 19a
5892,blocking loan this,sentence,Section 19a
5893,separate capital determination,is,11 share Paragraph
5894,determination,made by,responsible tax GmbH
5895,which,are,paid calendar capital
5896,that,In,companies
5897,however  determination,VStR,common company tax sections
5898,whereby operating effects,derived from,legal  form
5900,nine month period,EStG,December
5901,only  that,are,membership company
5904,such  shares,300,stock exchange 1987
5905,new capital that,considered,previously  corporation
5906,when decision they,are,new stock exchange day
5907,simplification regulation,apply,4  sentence
5908,4 asset participation,results from,employee
5909,annually Section 19a,is,500 asset DM
5910,insofar  it,follows,property participation
5911,even  half,is,asset participation
5912,free participationTax amount,based on,employment relationship
5913,who,claim,maximum calendar amount
5914,employer,(,ancillary equity interests
5915,notary business assumption,is,costs
5916,reduced asset participation,is,whole  part
5917,forming purchase price,paid by,5 capital building VermBG
5918,provisions,is,5  VermBG
5919,particular  freedom,be available,5  VermBG
5920,forming  benefits,is,asset participation
5921,1 Section 19a they,are,special  custody
5922,securities,identified,blocking payroll Section
5923,blocking note,made in,custody books
5924,blocking party note,is sufficient,custodian customer bank
5925,credit employee,submit,3 safekeeping Paragraph
5926,Violation,leads to subsequent,free pecuniary benefit
5927,change,permitted,blocking  period
5929,monetary wage benefit,note,blocking  period
5930,day  resolution,transferred,transfer
5931,they,be evident,six year blocking period
5932,that,certify,2  employee
5933,3 Section .,leads to subsequent,free pecuniary benefit
5934,early  employee,is,Federal Germany
5935,6 Section 19a EStG,exchanged,other Section meaning
5936,only  securities,is,bank
5937,proceeds,are,blocking calendar period
5938,blocking  period,become worthless,employee
5939,employee,is,10  percent
5940,asset that,value of,pecuniary  benefit
5941,amounts,exceed,10-percent
5942,only  employee,omitted,blocking  period
5943,3 safekeeping employee,notify,blocking  period
5944,11 Section 19a EStG,decreed before,blocking  sale
5945,harmless  this,checked by,only tax office
5946,last  sentence,applies,blocking  period
5947,one tax he,notify,blocking asset participation
5948,prejudicial  dispositions,In,3 submission z
5950,injurious  employee,has,20 wage %
5953,amount,apply,subsequently  DM
5954,harmful calendar disposal,taxed after,calendar which
5955,wage tax,determined in,number
5959,98 OFD St,St,3 OFD Münster
5965,5 ​​442 profit,are,5 ​​442 farmers
5966,1 assessment orders,issued,farmers
5967,1981  I,p,introductory  letter
5968,4 Section EStG,is decisive,Section 13a
5969,long  they,.,22 valuation para
5970,4 Section EStG,met,only Section 13a
5973,average  number,EStG,sustainably Section 13a
5974,term reference,made to,Section
5975,therefore  number,EStG over,financial Section years
5976,3 Section EStG,met from,financial  year
5977,other  livestock,increased in,permissible  limits
5978,maximum  limits,apply from,first  time
5979,1 Section EStG,converted into,Annex
5980,to 8 EStG,results from,3 13a EStG
5981,3 Section EStR,observed,basic Section 13a
5982,business,assumed,2  BewG
5983,Section EStG,added to,basic  amount
5984,initial Section EStG,omitted,individual  cases
5985,paid  workers,EStG,full time 13a
5986,well term who,applies to temporary,certain  ordering
5988,4  uses,Paragraph,initial  value
5990,activities,work,special  uses
5991,business relatives,applicable,business
5993,also labor that,serve as,special  uses
5995,Reference,EStR,2 Section EStG
5996,rent,includes,also ground rent
5997,basic  it,compensated by,initial  value
5998,8 EStG Reference,Paragraph,Section
5999,that,are,initial  example
6000,that,(,agricultural business assets
6002,company  which,.,Section 13a
6003,You,103,basic  amount
6004,8 13a EStG,are,operating  income
6005,profits,EStR,1  EStG
6006,following trout pond guidelines,serve as,guide
6007,application,p,12 1965 BStBl
6009,extraordinary breeding income,p,11/15/1984 13a BStBl
6011,Extraordinary  income,profit of,60 DMBreeding %
6012,selling price,amount by,7500  DM
6013,full  amount,is,additional  profit
6016,they,taken into,values
6017,additional  profit,has,individually  animal
6018,​​is,permitted,values
6019,above  prices,followed,valuable breeding animals
6020,underlying  value,results from,animal question
6021,1 vegetable BewRL,Is,vegetable  Wj
6022,8  EStG,is,agricultural  13a
6023,Vegetables,grown in,main crop crop
6028,cultivation,is,agricultural crop rotation
6029,vegetable  that,is,horticultural vegetable cultivation vegetables
6030,horticultural income fluctuates,"80,000 per","15,000  hectare"
6031,You,are dependent,z
6035,profit,influenced by,weekly  market
6036,correct  estimate,is,individual  cases
6038,2243  income,fluctuates,i
6040,They,depend on,age soil
6042,Late  frosts,lead to lower,lower  income
6043,profit,be,50  percent
6045,It,influenced by,weekly  market
6047,2244 asparagus income,fluctuates,i
6051,It,influenced by,weekly  market
6053,2245 Strawberry income,fluctuates,i
6056,amount,influenced by,wage expenditure
6058,following framework rates,ha Full,Full Medium operations
6062,individual  profit,increased by,10  %
6064,exclusively table trout,comes into,smoked  trout
6065,losses,considered,low water inflow
6066,yet debt costs,deducted,attributable pond management
6067,financial  value,noted,proportionally Section 4a Paragraph
6070,value,EStG,permanent  Section
6071,charges  Reference,EStR,2 Section EStG
6072,Interest subsidies,reduce,deductible debt interest
6073,75 03 VB,see,2 01 04
