,sentence
6529,"With the exception of interest and the income paid out during the term of the insurance contract, all income from insurance policies with a term of at least 12 years is subject"
6530,"In addition, the capital gains tax deduction of 25 per cent"
6531,exist for previously taxable income from insurance policies with a term of less than twelve years
6532,"Insurance for which a term of at least twelve years was agreed, but which, due to early surrender, only reaches a term of less than twelve years, is treated like insurance for which a term of less than twelve years was intended from the outset"
6533,"In these cases, however, in order to postpone taxation of the 10% tax"
6534,"In order to avoid taxed income, insurance policies with a term of less than twelve years still apply a tax deduction of just 10% from the outset"
6535,", so that at the end of such a contract a possible final profit share and the accounting interest add to the capital gains tax deduction of 25%"
6536,subject
6537,c) Refrain from withholding tax The possibility of refraining from tax deduction on income from life insurance will be eliminated from 1989 (Section 44a EStG)
6538,"In return, the taxpayer has a right to reimbursement in accordance with Section 44b (1) EStG or an assessment option (Section 45b EStG)"
6539,"In contrast, in cases in which they are themselves debtors of investment income, the credit institutions can refrain from withholding tax on investment income upon submission of a so-called NV certificate or a corresponding certificate from a tax-exempt or limited taxable corporation"
6540,d) Reimbursement of capital gains tax The regulation of Section 44b EStG relates the new capital gains tax to income from life insurance and in particular to interest from securitized capital claims (Section 43 (1) No. Federal Office of Finance
6541,e) Reimbursement of capital gains tax to certain creditors Tax-exempt corporations and legal entities under public law with limited tax liability are subject to the new capital gains tax of 10% to be levied from 1989 onwards
6542,not charged (§ 44c EStG)
6543,Credit institutions can therefore refrain from withholding tax on interest payments to such creditors (Section 44a (5) EStG)
6544,"In other cases, e.g."
6545,"In the case of income from securitized capital claims, the Federal Office of Finance reimburses the capital gains tax withheld and paid by the issuer in accordance with Section 44b (1) EStG"
6546,f) Exclusion of the reimbursement of capital gains tax The buyer of dividend or interest coupons will not be reimbursed the capital gains tax retained by the issuer because he is not a creditor of the capital income in relation to the issuer (Section 45 EStG)
6547,This is because the credit or reimbursement of capital gains tax is only possible for the shareholder or holder of the bond
6548,"g) Registration and certification of capital gains tax According to § 45a EStG, the regulations on registration and certification of capital gains tax also apply to the new capital gains tax of 10% to be levied from 1989 onwards"
6549,Since with the tax deduction of 10%
6550,"the income tax is generally settled on income from life insurance, the insurance companies only have to issue a certificate of withheld and paid capital gains tax at the request of the policyholder, e.g."
6551,because the policyholder wants to include the income in the income tax assessment (Section 45b sentence 4 EStG)
6552,"h) Special treatment of investment income from life insurances The new § 45b EStG basically stipulates the compensation for income from life insurance which, according to § 43a EStG, the tax deduction of 10 percent"
6553,subject
6554,"At the request of the taxpayer, however, this income must be included in the assessment"
6555,The associated crediting of the withheld capital gains tax can result in a full refund
6556,"16 Assessment of income subject to tax deduction Section 46 EStG contains the following changes: The assessment limits in Section 46 (1) EStG have been expanded to DM 54,000 / DM 27,000"
6557,The exemption limit in § 46 Paragraph 2 No. 1 EStG of DM 800 now applies to taxable ancillary income and to all tax-free income subject to progression (therefore § 46 Paragraph 2 No. 2a and 2c letter b EStG repealed)
6558,The remaining tax-free amount according to § 13 Abs 3 EStG is in the case of ancillary income i
6559,of § 46 Paragraph 2 No. 1 EStG (and Paragraph 3) as well as for losses i
6560,of § 46 Paragraph 2 No. 8 Letter
6561,b considered
6562,The obligation to assess wages from - side by side - several employers is no longer dependent on income (Section 46 (2) No. 2 EStG)
6563,The same applies to pension payments (Section 46 Paragraph 2 No. 3 and 3a EStG repealed) and for spouses with the tax class combination III and V or VI (Section 46 Paragraph 2 No. 3a EStG)
6564,"The assessment obligation according to § 46 Paragraph 2 No. 4a EStG has been extended to the - new - cases in which a child allowance has been certified in advance on the income tax card of the parent with unlimited tax liability, a child tax allowance is transferred to the other parent or a child according to § 32 Para 7 sentence 2 EStG is assigned to the father (see also no.11 letter b paragraph 2)"
